Tumor_Sample_Barcode	frac	sample	min_alt
TCGA-09-2044-01B-01D-0704-01	0.940129156859195	Tumor	Min depth = 5
TCGA-09-2045-01A-01W-0799-08	0.135554348482105	Tumor	Min depth = 5
TCGA-09-2049-01D-01W-0799-08	0.171404429959563	Tumor	Min depth = 5
TCGA-09-2050-01A-01W-0799-08	0.211418914840968	Tumor	Min depth = 5
TCGA-09-2051-01A-01W-0799-08	0.533466111412879	Tumor	Min depth = 5
TCGA-09-2053-01C-01W-0722-08	0.659182811274066	Tumor	Min depth = 5
TCGA-09-2055-01B-01W-0799-08	0.342265676866437	Tumor	Min depth = 5
TCGA-09-2056-01B-01W-0722-08	0.801255356388436	Tumor	Min depth = 5
TCGA-10-0926-01A-01W-0420-08	0.999939646327479	Tumor	Min depth = 5
TCGA-10-0927-01A-02W-0420-08	0.995594181905969	Tumor	Min depth = 5
TCGA-10-0928-01A-02W-0420-08	0.939103144426338	Tumor	Min depth = 5
TCGA-10-0930-01A-02W-0420-08	0.992093668899753	Tumor	Min depth = 5
TCGA-10-0931-01A-01W-0420-08	0.999939646327479	Tumor	Min depth = 5
TCGA-10-0933-01A-01W-0420-08	0.940189510531716	Tumor	Min depth = 5
TCGA-10-0934-01A-02D-0399-01	0.999879292654958	Tumor	Min depth = 5
TCGA-10-0935-01A-03W-0421-09	0.999939646327479	Tumor	Min depth = 5
TCGA-10-0937-01A-02W-0420-08	0.822982678495986	Tumor	Min depth = 5
TCGA-12-0615-01A-01D-1492-08	0.486812722554167	Tumor	Min depth = 5
TCGA-12-0616-01A-01D-1492-08	0.586456635886294	Tumor	Min depth = 5
TCGA-12-0618-01A-01D-1492-08	0.80210030780373	Tumor	Min depth = 5
TCGA-12-0619-01A-01D-1492-08	0.673245216971453	Tumor	Min depth = 5
TCGA-12-0656-01A-03W-0348-08	0.999939646327479	Tumor	Min depth = 5
TCGA-12-0657-01A-01W-0348-08	0.999939646327479	Tumor	Min depth = 5
TCGA-12-0662-01A-01W-0348-08	0.999939646327479	Tumor	Min depth = 5
TCGA-12-0670-01B-01W-0424-08	0.887862876456032	Tumor	Min depth = 5
TCGA-12-0688-01A-02D-1492-08	0.999939646327479	Tumor	Min depth = 5
