## obtained from https://www.synapse.org/#!Synapse:syn1713813
tumor_id	muts	covd_bps	muts_per_mbp	tcga_type
TCGA-EE-A2MI-06A-11D-A197-08	1292	36585445	35.3145902694364	skcm
TCGA-67-3771-01	1345	38145617	35.2596210463708	luad
TCGA-05-4427-01A-21D-1855-08	1323	37533540	35.2484737650645	luad
TCGA-AA-A022-01A-21W-A096-10	1276	36522424	34.9374400779094	coadread
TCGA-EE-A29S-06A-11D-A197-08	1287	36973994	34.8082492792096	skcm
TCGA-CG-4305-01A-01D-1158-08	1271	36535056	34.7885055930939	stad
TCGA-BR-4256-01A-01D-1126-08	1249	36087001	34.6108007146396	stad
TCGA-FS-A1Z3-06A-11D-A197-08	1259	36690511	34.3140492101623	skcm
TCGA-EE-A29V-06A-12D-A197-08	1219	36232682	33.6436590589678	skcm
TCGA-EE-A3JA-06A-11D-A20D-08	1240	36987385	33.5249437071585	skcm
TCGA-AG-A02N-01A-11W-A096-10	1243	37125761	33.4807951815452	coadread
TCGA-EE-A3AC-06A-11D-A196-08	1230	37084976	33.1670701364348	skcm
TCGA-17-Z026-01A-01W-0746-08	1215	36670609	33.1328012578139	luad
TCGA-EE-A3J7-06A-11D-A20D-08	1226	37166479	32.9867136459173	skcm
TCGA-CG-4306-01A-01D-1158-08	1212	36782100	32.9508103126249	stad
TCGA-CG-5733-01A-11D-1600-08	1196	36351371	32.9010974579198	stad
TCGA-ER-A19F-06A-11D-A196-08	1188	36607176	32.4526535453049	skcm
TCGA-AA-3516-01A-02W-0833-10	924	28495075	32.4266561853233	coadread
TCGA-BR-4370-01A-01D-1158-08	1194	36970969	32.2956101042415	stad
TCGA-D1-A16Y-01A-31D-A12J-09	1211	37828925	32.0125406682849	ucec
TCGA-BR-6852-01A-11D-1882-08	1177	36803862	31.9803394545931	stad
TCGA-AP-A054-01A-11W-A062-09	1124	35299104	31.8421680051709	ucec
TCGA-50-6590-01A-12D-1855-08	1167	37565547	31.0656996422813	luad
TCGA-AA-3811-01A-01W-0995-10	1155	37211834	31.0385131783615	coadread
TCGA-D3-A3C7-06A-11D-A196-08	1137	36785003	30.9093355245886	skcm
TCGA-DA-A1IC-06A-11D-A197-08	1148	37148473	30.9030198899427	skcm
TCGA-AA-3555-01A-01W-0831-10	871	28194347	30.8927176075403	coadread
TCGA-91-6836-01A-21D-1855-08	1148	37416999	30.6812419670535	luad
TCGA-DK-A2I4-01A-11D-A21A-08	1133	37277120	30.3939789339949	blca
TCGA-EE-A3AF-06A-11D-A196-08	1126	37103579	30.3474767218548	skcm
TCGA-D3-A3ML-06A-11D-A21A-08	1124	37335115	30.1057061160787	skcm
TCGA-D9-A1JW-06A-11D-A19A-08	1094	36874459	29.6682318783307	skcm
TCGA-44-3918-01A-01D-1105-08	1126	37966189	29.6579675142006	luad
TCGA-AA-3877-01A-01W-0995-10	1091	36953560	29.5235425220195	coadread
TCGA-B5-A11Y-01A-21D-A10M-09	1152	39379492	29.253805508715	ucec
TCGA-CR-7402-01A-11D-2012-08	1089	37305234	29.1916142383667	hnsc
TCGA-EE-A2MT-06A-11D-A197-08	1078	36956102	29.1697430643524	skcm
TCGA-A6-2676-01A-01W-0833-10	816	28070250	29.0699227830176	coadread
TCGA-46-3769-01A-01D-0983-08	1031	35773857	28.8199284745841	lusc
TCGA-D3-A1Q6-06A-11D-A196-08	1040	36470902	28.5158837036715	skcm
TCGA-AA-A01Q-01A-01W-A005-10	796	27960817	28.468409918065	coadread
TCGA-50-5049-01A-01D-1625-08	1043	36700961	28.4188743722542	luad
TCGA-BR-4280-01A-01D-1126-08	1018	36160465	28.1522928424731	stad
TCGA-D3-A3MR-06A-11D-A21A-08	1050	37546309	27.9654652605134	skcm
TCGA-CN-4723-01A-01D-1434-08	1053	37754179	27.8909521512837	hnsc
TCGA-AX-A063-01A-11W-A027-09	982	35311384	27.8097284433825	ucec
TCGA-44-2656-01	1052	38260969	27.4953830887033	luad
TCGA-35-3621-01A-01D-0969-08	1057	38564643	27.4085254724126	luad
TCGA-G2-A2EO-01A-11D-A17V-08	1028	37608404	27.3343160214935	blca
TCGA-85-6561-01A-11D-1817-08	975	35682067	27.3246502227576	lusc
TCGA-BF-A1Q0-01A-21D-A19A-08	980	36746670	26.6690832121659	skcm
TCGA-F1-6874-01A-11D-1882-08	975	36822373	26.4784673165958	stad
TCGA-17-Z055-01A-01W-0747-08	957	36858220	25.9643574757544	luad
TCGA-EE-A183-06A-11D-A196-08	949	36676187	25.8750998297615	skcm
TCGA-EE-A17X-06A-11D-A197-08	958	37044669	25.8606710725368	skcm
TCGA-AA-3845-01A-01W-0995-10	885	34260740	25.831315961068	coadread
TCGA-B5-A11H-01A-11D-A122-09	1004	39120777	25.664111937245	ucec
TCGA-49-6743-01A-11D-1855-08	962	37567324	25.6073602687272	luad
TCGA-22-5473-01A-01D-1632-08	944	36870170	25.6033536053672	lusc
TCGA-05-4398-01A-01D-1265-08	956	37575389	25.4421850429812	luad
TCGA-AA-3949-01A-01W-0995-10	933	36861473	25.3109798406591	coadread
TCGA-EE-A2MC-06A-12D-A197-08	932	37107019	25.1165419674375	skcm
TCGA-05-4397-01A-01D-1265-08	933	37372819	24.9646675034067	luad
TCGA-EE-A2MF-06A-11D-A21A-08	939	37641930	24.9455859463104	skcm
TCGA-05-4424-01A-22D-1855-08	932	37790659	24.6621790850485	luad
TCGA-DS-A1OC-01A-11D-A14W-08	901	36590195	24.6240830364528	cesc
TCGA-GN-A269-01A-11D-A19A-08	908	37328103	24.3248364375763	skcm
TCGA-38-4631-01A-01D-1753-08	905	37283464	24.2734956172527	luad
TCGA-D3-A3C8-06A-12D-A19A-08	868	35869122	24.1990868915052	skcm
TCGA-37-5819-01A-01D-1632-08	856	35505811	24.1087296949787	lusc
TCGA-DA-A1HY-06A-11D-A19A-08	879	36886362	23.8299456042859	skcm
TCGA-FS-A1ZC-06A-11D-A197-08	868	36835374	23.5643053332376	skcm
TCGA-AA-A00E-01A-01W-A005-10	651	27735478	23.4717425818297	coadread
TCGA-AA-3525-01A-02W-0833-10	624	26834583	23.2535754328659	coadread
TCGA-EE-A2GM-06B-11D-A196-08	852	36822075	23.1382940803852	skcm
TCGA-CR-7388-01A-11D-2012-08	848	37157529	22.8217543744634	hnsc
TCGA-EE-A29R-06A-11D-A197-08	842	36929340	22.8002991659206	skcm
TCGA-AA-3821-01A-01W-0995-10	830	36930485	22.4746574544039	coadread
TCGA-EE-A2MU-06A-21D-A196-08	826	36789932	22.4517946920913	skcm
TCGA-05-4432-01A-01D-1265-08	836	37511663	22.2864019651701	luad
TCGA-EE-A3AB-06A-11D-A196-08	810	37049205	21.8628172993186	skcm
TCGA-EE-A2GB-06A-11D-A197-08	795	37062843	21.4500544386193	skcm
TCGA-75-5126-01A-01D-1753-08	796	37341959	21.3165035074887	luad
TCGA-17-Z045-01A-01W-0746-08	765	35945255	21.2823639726579	luad
TCGA-D3-A2JO-06A-11D-A196-08	784	37086660	21.1396766384463	skcm
TCGA-D3-A2JH-06A-11D-A196-08	783	37119202	21.0942034799132	skcm
TCGA-FS-A1ZW-06A-12D-A197-08	786	37318790	21.0617761186791	skcm
TCGA-D3-A2J8-06A-11D-A196-08	781	37370146	20.899035288757	skcm
TCGA-EE-A2GP-06A-11D-A197-08	775	37238772	20.8116422313818	skcm
TCGA-DK-A1A3-01A-11D-A13W-08	764	36889289	20.7106187381383	blca
TCGA-BT-A0YX-01A-11D-A10S-08	776	37511270	20.6871161653551	blca
TCGA-AA-3518-01A-02W-0833-10	580	28131173	20.6176969584596	coadread
TCGA-A6-2672-01A-01W-0833-10	589	28664122	20.5483356510972	coadread
TCGA-39-5031-01A-01D-1441-08	751	36776535	20.420629621578	lusc
TCGA-91-6829-01A-21D-1855-08	770	37718255	20.4145181159627	luad
TCGA-HL-7533-01A-11D-2229-08	751	36799398	20.4079425429731	hnsc
TCGA-43-5668-01A-01D-1632-08	725	35599731	20.3653224233633	lusc
TCGA-34-5231-01A-21D-1817-08	750	36993972	20.2735732189017	lusc
TCGA-EE-A29N-06A-12D-A197-08	746	37148582	20.081520204459	skcm
TCGA-BT-A2LB-01A-11D-A18F-08	743	37108571	20.0223285342893	blca
TCGA-EE-A3JB-06A-11D-A21A-08	752	37609769	19.9948050731181	skcm
TCGA-CG-4465-01A-01D-1158-08	730	36604823	19.9427272193066	stad
TCGA-22-4613-01A-01D-1441-08	727	36639699	19.8418660589979	lusc
TCGA-AX-A060-01A-11W-A027-09	685	34896875	19.6292647980657	ucec
TCGA-EE-A2GU-06A-11D-A196-08	730	37199199	19.6240784647003	skcm
TCGA-EE-A20H-06A-11D-A197-08	718	37105611	19.3501732123479	skcm
TCGA-C5-A1MH-01A-11D-A14W-08	703	36540823	19.238756609286	cesc
TCGA-A5-A0GB-01A-11W-A062-09	700	36420508	19.2199405895162	ucec
TCGA-D1-A177-01A-21D-A12J-09	756	39386271	19.1945056184679	ucec
TCGA-EB-A24D-01A-11D-A197-08	702	36859350	19.0453711202178	skcm
TCGA-EE-A2MM-06A-11D-A196-08	693	36417050	19.0295479727216	skcm
TCGA-DS-A1OD-01A-11D-A14W-08	704	37040447	19.0062501135583	cesc
TCGA-17-Z030-01A-01W-0746-08	690	36580545	18.8624855097156	luad
TCGA-B5-A11R-01A-11D-A122-09	715	38208622	18.7130538232967	ucec
TCGA-D1-A174-01A-11D-A12J-09	725	38753006	18.708226143799	ucec
TCGA-EE-A2GD-06A-11D-A196-08	679	36475255	18.6153599200335	skcm
TCGA-AP-A0LT-01A-11W-A062-09	652	35142763	18.5528952290974	ucec
TCGA-EE-A2ML-06A-11D-A197-08	673	36369675	18.5044271085733	skcm
TCGA-CV-6961-01A-21D-1912-08	685	37129294	18.4490445738074	hnsc
TCGA-64-1676-01	708	38470599	18.4036645751214	luad
TCGA-B5-A0K9-01A-21D-A10O-09	724	39451871	18.3514743825458	ucec
TCGA-66-2773-01A-01D-1267-08	681	37159485	18.3264111437497	lusc
TCGA-EE-A29B-06A-11D-A197-08	664	36337041	18.2733646363775	skcm
TCGA-50-5933-01A-11D-1753-08	669	37143082	18.0114294231157	luad
TCGA-EE-A2M6-06A-12D-A197-08	656	36465407	17.9896524944861	skcm
TCGA-05-4390-01A-02D-1753-08	672	37365852	17.9843350019157	luad
TCGA-38-4625-01A-01D-1553-08	675	37556208	17.9730605390193	luad
TCGA-ER-A19G-06A-11D-A196-08	651	36416020	17.8767476511711	skcm
TCGA-AA-3833-01A-01W-0900-09	536	30185569	17.7568294306461	coadread
TCGA-D3-A3MV-06A-11D-A21A-08	649	36823930	17.6244089101842	skcm
TCGA-B5-A0JR-01A-13W-A062-09	613	35106971	17.4609196560991	ucec
TCGA-BR-4363-01A-01D-1158-08	636	36583597	17.38484053386	stad
TCGA-55-1592-01	662	38374718	17.2509411013783	luad
TCGA-CN-5369-01A-01D-1434-08	649	37635519	17.2443483508225	hnsc
TCGA-EE-A20F-06A-21D-A196-08	626	36337247	17.2275021275002	skcm
TCGA-EE-A180-06A-11D-A21A-08	649	37807634	17.165845395139	skcm
TCGA-HZ-8003-01A-21D-2201-08	653	38056589	17.1586581235644	paad
TCGA-FS-A1ZQ-06A-11D-A197-08	626	36618501	17.0951836613956	skcm
TCGA-33-4583-01A-01D-1441-08	626	36848807	16.988338319881	lusc
TCGA-17-Z056-01A-01W-0747-08	609	36396782	16.7322484718567	luad
TCGA-CR-7370-01A-11D-2129-08	618	36980434	16.7115399456913	hnsc
TCGA-38-4632-01A-01D-1753-08	622	37270719	16.6887040735651	luad
TCGA-DA-A1I0-06A-11D-A20D-08	618	37176929	16.6232127457327	skcm
TCGA-AA-A00A-01A-01W-A005-10	455	27459747	16.5697083807801	coadread
TCGA-66-2787-01A-01D-0983-08	587	35535540	16.5186739810342	lusc
TCGA-50-6594-01A-11D-1753-08	608	37127480	16.3760104375519	luad
TCGA-BF-A3DM-01A-11D-A20D-08	603	37091559	16.2570680838732	skcm
TCGA-BS-A0TJ-01A-11D-A10B-09	632	39011355	16.2004113930418	ucec
TCGA-17-Z028-01A-01W-0746-08	583	36020305	16.1853154769234	luad
TCGA-17-Z015-01A-01W-0746-08	582	35969722	16.1802751769947	luad
TCGA-BT-A3PJ-01A-21D-A21Z-08	607	37649656	16.1223252610861	blca
TCGA-BA-5152-01A-02D-1870-08	605	37623877	16.0802141682528	hnsc
TCGA-AA-A00R-01A-01W-A005-10	433	27175262	15.933609030154	coadread
TCGA-34-2600-01A-01D-1522-08	583	36644623	15.9095646856566	lusc
TCGA-CG-4437-01A-01D-1800-08	582	36623587	15.8913980763271	stad
TCGA-49-6767-01A-11D-1855-08	595	37526061	15.8556476257926	luad
TCGA-ER-A19N-06A-11D-A197-08	586	36964837	15.8529036662599	skcm
TCGA-D3-A1QA-06A-11D-A196-08	585	36964568	15.8259660981294	skcm
TCGA-D1-A17H-01A-11D-A12J-09	609	38566793	15.7907866490221	ucec
TCGA-GV-A3QI-01A-11D-A21Z-08	576	36781738	15.6599451608295	blca
TCGA-GV-A3JZ-01A-11D-A21A-08	580	37206181	15.588807676875	blca
TCGA-BT-A20J-01A-11D-A14W-08	569	36598755	15.5469769395161	blca
TCGA-EE-A3AD-06A-11D-A196-08	567	36540998	15.5168175756995	skcm
TCGA-CN-5360-01A-01D-1434-08	578	37256363	15.5141284188153	hnsc
TCGA-D3-A3MU-06A-11D-A21A-08	580	37556647	15.4433381659444	skcm
TCGA-CV-7245-01A-11D-2012-08	576	37365428	15.4153192089757	hnsc
TCGA-ER-A19D-06A-11D-A197-08	572	37247146	15.3568813030668	skcm
TCGA-FS-A1ZP-06A-11D-A197-08	567	36932661	15.352265031756	skcm
TCGA-ER-A198-06A-11D-A196-08	566	37048016	15.2774712686369	skcm
TCGA-17-Z062-01A-01W-0747-08	557	36513276	15.2547254319224	luad
TCGA-AA-A01P-01A-21W-A096-10	516	33863837	15.2374936130244	coadread
TCGA-ER-A19E-06A-11D-A197-08	552	36321576	15.1975784310681	skcm
TCGA-64-5775-01A-01D-1625-08	561	36969875	15.1745170899279	luad
TCGA-DA-A1I7-06A-22D-A197-08	560	36905244	15.1739953270598	skcm
TCGA-BG-A0MQ-01A-11D-A10B-09	594	39190403	15.1567719270455	ucec
TCGA-66-2756-01A-01D-1522-08	554	36573527	15.1475683490958	lusc
TCGA-44-6777-01A-11D-1855-08	571	37702924	15.1447139749692	luad
TCGA-21-1070-01A-01D-1521-08	558	36846990	15.1437064465781	lusc
TCGA-CR-6481-01A-11D-1870-08	563	37208695	15.1308719642008	hnsc
TCGA-17-Z042-01A-01W-0746-08	546	36216560	15.0759762937176	luad
TCGA-BF-A3DL-01A-11D-A20D-08	564	37420268	15.0720459832089	skcm
TCGA-BR-4264-01A-01D-1126-08	563	37595722	14.9751080721365	stad
TCGA-64-5778-01A-01D-1625-08	550	36804567	14.9437975999011	luad
TCGA-H4-A2HQ-01A-11D-A17V-08	560	37494358	14.935580441196	blca
TCGA-BA-6869-01A-11D-1870-08	556	37249427	14.9264041028067	hnsc
TCGA-AA-3542-01A-02W-0831-10	411	27599081	14.8918002016082	coadread
TCGA-17-Z049-01A-01W-0746-08	552	37291071	14.802471079471	luad
TCGA-DA-A1I5-06A-11D-A197-08	544	36877552	14.7515214675855	skcm
TCGA-CR-6472-01A-11D-1870-08	546	37114289	14.7113150948412	hnsc
TCGA-D1-A0ZO-01A-11D-A122-09	570	39147284	14.5603970891058	ucec
TCGA-DK-A3IU-01A-11D-A20D-08	540	37154215	14.5340172037008	blca
TCGA-G2-A2ES-01A-11D-A17V-08	547	37746441	14.4914324505455	blca
TCGA-18-3416-01A-01D-0983-08	511	35376641	14.4445596177432	lusc
TCGA-73-4668-01A-01D-1265-08	542	37541042	14.4375321281706	luad
TCGA-BT-A3PH-01A-11D-A21Z-08	541	37680223	14.357664496837	blca
TCGA-BR-6802-01A-11D-1882-08	529	36893026	14.3387533459576	stad
TCGA-AX-A05S-01A-11W-A027-09	510	35626064	14.3153619215415	ucec
TCGA-05-4417-01A-22D-1855-08	537	37584683	14.2877352457649	luad
TCGA-GN-A263-01A-11D-A196-08	533	37367199	14.2638467496587	skcm
TCGA-17-Z046-01A-01W-0746-08	547	38564643	14.1839767581927	luad
TCGA-CR-7364-01A-11D-2012-08	528	37458438	14.0956224602852	hnsc
TCGA-33-6737-01A-11D-1817-08	519	36869803	14.076560159543	lusc
TCGA-ER-A19A-06A-21D-A197-08	520	36962603	14.0682732761002	skcm
TCGA-44-4112-01	537	38300433	14.0207292173433	luad
TCGA-EE-A2GN-06A-11D-A196-08	509	36373063	13.9938723334903	skcm
TCGA-37-3789-01A-01D-0983-08	498	35624874	13.9789968099256	lusc
TCGA-CV-7427-01A-11D-2078-08	510	36514240	13.9671536364991	hnsc
TCGA-IB-7893-01A-11D-2201-08	529	38026090	13.9115012876685	paad
TCGA-49-4487-01A-21D-1855-08	523	37653724	13.8897284103957	luad
TCGA-55-5899-01A-11D-1625-08	514	37009362	13.8883777569578	luad
TCGA-D3-A2JD-06A-11D-A19A-08	507	36623256	13.8436626169994	skcm
TCGA-BA-4078-01A-01D-1434-08	520	37625639	13.8203632900427	hnsc
TCGA-AP-A0LE-01A-11D-A127-09	509	36900577	13.7938222483621	ucec
TCGA-66-2759-01A-01D-1522-08	502	36716610	13.6722861941775	lusc
TCGA-D1-A163-01A-11D-A12J-09	538	39443072	13.6399112117839	ucec
TCGA-AP-A0LD-01A-11W-A062-09	483	35525405	13.5959041142529	ucec
TCGA-GD-A3OP-01A-21D-A21Z-08	510	37572547	13.5737404227613	blca
TCGA-B5-A11G-01A-13D-A122-09	531	39193351	13.548216379865	ucec
TCGA-85-6560-01A-11D-1817-08	493	36769716	13.4077728530729	lusc
TCGA-50-5941-01A-11D-1753-08	500	37387314	13.3735202266737	luad
TCGA-GN-A267-06A-21D-A196-08	500	37471436	13.3434971640799	skcm
TCGA-21-5787-01A-01D-1632-08	472	35460345	13.3106431987619	lusc
TCGA-CD-5801-01A-11D-1600-08	486	36520176	13.3077124272347	stad
TCGA-44-2659-01	508	38285431	13.2687548953021	luad
TCGA-64-1678-01A-01W-0928-08	477	35987013	13.2547816624847	luad
TCGA-22-5472-01A-01D-1632-08	468	35412098	13.2158224570597	lusc
TCGA-DA-A1I1-06A-12D-A196-08	482	36479443	13.212921041585	skcm
TCGA-EE-A29G-06A-12D-A196-08	492	37330958	13.1794099685307	skcm
TCGA-BG-A0LX-01A-11W-A062-09	471	35835111	13.1435340049595	ucec
TCGA-EE-A29C-06A-21D-A197-08	491	37390695	13.1316093482616	skcm
TCGA-35-5375-01A-01D-1625-08	480	36609323	13.1114142700754	luad
TCGA-05-4405-01A-21D-1855-08	496	37848696	13.1048107971804	luad
