Tumor_Sample_Barcode	purity_facets	purity_impact
P-0002671-T01-IM3	NA	0.3
P-0002673-T01-IM3	NA	0.3
P-0002678-T01-IM3	NA	0.2
P-0002702-T01-IM3	0.838090978875064	0.3
P-0002721-T01-IM3	NA	0.2
P-0002724-T01-IM3	0.613256716740925	0.4
P-0002728-T01-IM3	0.435182299888828	0.3
P-0002730-T01-IM3	0.462237605211892	0.3
P-0002752-T01-IM3	0.439684704163077	0.3
P-0002769-T01-IM3	0.509164104849222	NA
P-0002770-T01-IM3	0.31479484891388	0.2
P-0002778-T01-IM3	NA	0.4
P-0002788-T01-IM3	NA	0.4
P-0002791-T01-IM3	NA	0.3
P-0002792-T01-IM3	0.555099414704925	0.6
P-0002795-T01-IM3	NA	0.2
P-0002804-T01-IM3	NA	0.3
P-0002814-T01-IM3	NA	0.3
P-0002835-T01-IM3	NA	NA
P-0002852-T01-IM3	0.198665839098478	0.3
P-0002855-T01-IM3	NA	0.2
P-0002878-T01-IM3	NA	0.3
P-0002884-T01-IM3	0.178832040575735	0.2
P-0002902-T01-IM3	NA	0.2
P-0002951-T01-IM3	NA	0.3
P-0002960-T01-IM3	NA	0.2
P-0002994-T01-IM3	0.72915887803701	0.2
P-0003011-T01-IM3	0.291995677166567	0.2
P-0003035-T01-IM5	NA	0.4
P-0003046-T01-IM3	NA	NA
P-0003077-T01-IM5	NA	0.6
P-0003110-T01-IM5	0.594793151498759	0.4
P-0003124-T01-IM5	NA	0.3
P-0003130-T01-IM5	0.432334237286786	0.2
P-0003136-T01-IM5	NA	0.2
P-0003154-T01-IM5	NA	0.1
P-0003183-T01-IM5	NA	0.4
P-0003184-T01-IM5	0.616337758650209	0.2
P-0003209-T01-IM5	NA	0.7
P-0003210-T01-IM5	NA	0.2
P-0003211-T01-IM5	NA	0.8
P-0003254-T01-IM5	NA	0.4
P-0003258-T01-IM5	NA	0.2
P-0003284-T01-IM5	NA	0.2
P-0003285-T01-IM5	0.292534910386783	0.3
P-0003298-T01-IM5	NA	0.4
P-0003301-T01-IM5	NA	0.1
P-0003308-T01-IM5	0.480771790706387	0.6
P-0003348-T01-IM5	NA	0.3
P-0003365-T01-IM5	NA	0.3
P-0003397-T01-IM5	NA	0.1
P-0003437-T01-IM5	NA	0.2
P-0003474-T01-IM5	0.445906018743028	0.3
P-0003475-T01-IM5	0.493240465912858	0.6
P-0003483-T01-IM5	0.268598279557765	0.1
P-0003499-T01-IM5	0.3	0.3
P-0003501-T01-IM5	NA	0.2
P-0003510-T01-IM5	NA	0.3
P-0003513-T01-IM5	NA	0.2
P-0003514-T01-IM5	0.474041215498975	0.4
P-0003518-T01-IM5	NA	0.3
P-0003575-T01-IM5	0.634123220604789	0.6
P-0003582-T01-IM5	0.352163662632256	0.3
P-0003611-T01-IM5	0.395703914169072	0.3
P-0003662-T01-IM5	NA	0.1
P-0003710-T01-IM5	NA	0.6
P-0003717-T01-IM5	0.450753262463548	0.3
P-0003720-T01-IM5	NA	0.2
P-0003725-T01-IM5	NA	0.2
P-0003753-T01-IM5	NA	0.1
P-0003755-T01-IM5	NA	0.1
P-0003756-T01-IM5	NA	0.1
P-0003774-T01-IM5	NA	0.3
P-0003780-T01-IM5	NA	0.1
P-0003789-T01-IM5	NA	0.2
P-0003791-T01-IM5	NA	0.2
P-0003793-T01-IM5	NA	0.6
P-0003796-T01-IM5	NA	0.1
P-0003807-T01-IM5	0.3	0.1
P-0003839-T01-IM5	NA	0.4
P-0003886-T01-IM5	NA	0.2
P-0003890-T01-IM5	NA	0.2
P-0003901-T01-IM5	0.352700380855805	0.2
P-0003990-T01-IM3	0.3	0.1
P-0003999-T01-IM5	NA	0.2
P-0004007-T01-IM3	0.306675364221724	0.15
P-0004007-T02-IM3	0.334177873002655	0.3
P-0004010-T01-IM3	NA	0.7
P-0004011-T01-IM5	NA	0.1
P-0004018-T01-IM3	0.741226951714155	NA
